session_id,user_id,event_ts,event_name,step_no,platform,city
9,11,2026-03-24 20:29:57,app_open,1,iOS,Delhi NCR
9,11,2026-03-24 20:31:32,search,2,iOS,Delhi NCR
9,11,2026-03-24 20:29:09,restaurant_view,3,iOS,Delhi NCR
9,11,2026-03-24 20:30:08,add_to_cart,4,iOS,Delhi NCR
9,11,2026-03-24 20:36:25,checkout_start,5,iOS,Delhi NCR
9,11,2026-03-24 20:30:06,payment_success,6,iOS,Delhi NCR
10,12,2026-06-22 21:45:30,app_open,1,Android,Hyderabad
10,12,2026-06-22 21:46:46,search,2,Android,Hyderabad
10,12,2026-06-22 21:45:30,restaurant_view,3,Android,Hyderabad
10,12,2026-06-22 21:46:44,add_to_cart,4,Android,Hyderabad
10,12,2026-06-22 21:46:55,checkout_start,5,Android,Hyderabad
10,12,2026-06-22 21:46:06,payment_success,6,Android,Hyderabad
11,13,2026-05-12 19:43:12,app_open,1,Android,Mumbai
11,13,2026-05-12 19:45:36,search,2,Android,Mumbai
11,13,2026-05-12 19:45:42,restaurant_view,3,Android,Mumbai
11,13,2026-05-12 19:48:36,add_to_cart,4,Android,Mumbai
11,13,2026-05-12 19:50:25,checkout_start,5,Android,Mumbai
11,13,2026-05-12 19:53:54,payment_success,6,Android,Mumbai
12,14,2026-06-07 14:20:32,app_open,1,iOS,Bengaluru
12,14,2026-06-07 14:21:20,search,2,iOS,Bengaluru
12,14,2026-06-07 14:21:54,restaurant_view,3,iOS,Bengaluru
12,14,2026-06-07 14:26:48,add_to_cart,4,iOS,Bengaluru
12,14,2026-06-07 14:25:40,checkout_start,5,iOS,Bengaluru
12,14,2026-06-07 14:25:06,payment_success,6,iOS,Bengaluru
13,14,2026-06-27 11:57:03,app_open,1,iOS,Bengaluru
13,14,2026-06-27 11:59:56,search,2,iOS,Bengaluru
13,14,2026-06-27 11:59:27,restaurant_view,3,iOS,Bengaluru
13,14,2026-06-27 12:03:44,add_to_cart,4,iOS,Bengaluru
13,14,2026-06-27 12:02:40,checkout_start,5,iOS,Bengaluru
13,14,2026-06-27 12:03:30,payment_success,6,iOS,Bengaluru
14,15,2026-04-05 21:13:21,app_open,1,Android,Hyderabad
14,15,2026-04-05 21:14:18,search,2,Android,Hyderabad
14,15,2026-04-05 21:16:45,restaurant_view,3,Android,Hyderabad
14,15,2026-04-05 21:18:52,add_to_cart,4,Android,Hyderabad
14,15,2026-04-05 21:17:15,checkout_start,5,Android,Hyderabad
14,15,2026-04-05 21:23:42,payment_success,6,Android,Hyderabad
15,18,2026-01-16 21:35:38,app_open,1,iOS,Mumbai
15,18,2026-01-16 21:37:20,search,2,iOS,Mumbai
15,18,2026-01-16 21:36:51,restaurant_view,3,iOS,Mumbai
15,18,2026-01-16 21:39:12,add_to_cart,4,iOS,Mumbai
15,18,2026-01-16 21:42:30,checkout_start,5,iOS,Mumbai
15,18,2026-01-16 21:40:30,payment_success,6,iOS,Mumbai
16,18,2026-01-21 12:06:32,app_open,1,iOS,Mumbai
16,18,2026-01-21 12:07:32,search,2,iOS,Mumbai
16,18,2026-01-21 12:06:48,restaurant_view,3,iOS,Mumbai
16,18,2026-01-21 12:09:32,add_to_cart,4,iOS,Mumbai
16,18,2026-01-21 12:14:30,checkout_start,5,iOS,Mumbai
16,18,2026-01-21 12:12:54,payment_success,6,iOS,Mumbai
17,18,2026-01-31 13:33:40,app_open,1,iOS,Mumbai
17,18,2026-01-31 13:34:16,search,2,iOS,Mumbai
17,18,2026-01-31 13:36:00,restaurant_view,3,iOS,Mumbai
17,18,2026-01-31 13:37:48,add_to_cart,4,iOS,Mumbai
17,18,2026-01-31 13:35:05,checkout_start,5,iOS,Mumbai
17,18,2026-01-31 13:38:54,payment_success,6,iOS,Mumbai
18,19,2026-06-08 19:32:58,app_open,1,Android,Hyderabad
18,19,2026-06-08 19:34:30,search,2,Android,Hyderabad
18,19,2026-06-08 19:32:06,restaurant_view,3,Android,Hyderabad
18,19,2026-06-08 19:38:24,add_to_cart,4,Android,Hyderabad
18,19,2026-06-08 19:40:50,checkout_start,5,Android,Hyderabad
18,19,2026-06-08 19:39:00,payment_success,6,Android,Hyderabad
19,20,2026-05-06 22:09:28,app_open,1,iOS,Hyderabad
19,20,2026-05-06 22:08:42,search,2,iOS,Hyderabad
19,20,2026-05-06 22:13:27,restaurant_view,3,iOS,Hyderabad
19,20,2026-05-06 22:15:52,add_to_cart,4,iOS,Hyderabad
19,20,2026-05-06 22:16:20,checkout_start,5,iOS,Hyderabad
19,20,2026-05-06 22:17:42,payment_success,6,iOS,Hyderabad
20,23,2026-06-26 12:42:09,app_open,1,Android,Pune
20,23,2026-06-26 12:43:08,search,2,Android,Pune
20,23,2026-06-26 12:46:36,restaurant_view,3,Android,Pune
20,23,2026-06-26 12:45:52,add_to_cart,4,Android,Pune
20,23,2026-06-26 12:49:00,checkout_start,5,Android,Pune
20,23,2026-06-26 12:46:42,payment_success,6,Android,Pune
21,24,2026-06-17 20:33:05,app_open,1,Android,Bengaluru
21,24,2026-06-17 20:35:00,search,2,Android,Bengaluru
21,24,2026-06-17 20:37:39,restaurant_view,3,Android,Bengaluru
21,24,2026-06-17 20:36:20,add_to_cart,4,Android,Bengaluru
21,24,2026-06-17 20:36:00,checkout_start,5,Android,Bengaluru
21,24,2026-06-17 20:36:12,payment_success,6,Android,Bengaluru
22,25,2026-05-30 19:48:48,app_open,1,iOS,Hyderabad
22,25,2026-05-30 19:48:52,search,2,iOS,Hyderabad
22,25,2026-05-30 19:51:12,restaurant_view,3,iOS,Hyderabad
22,25,2026-05-30 19:50:32,add_to_cart,4,iOS,Hyderabad
22,25,2026-05-30 19:55:50,checkout_start,5,iOS,Hyderabad
22,25,2026-05-30 19:52:06,payment_success,6,iOS,Hyderabad
23,25,2026-06-06 13:05:45,app_open,1,iOS,Hyderabad
23,25,2026-06-06 13:07:16,search,2,iOS,Hyderabad
23,25,2026-06-06 13:06:12,restaurant_view,3,iOS,Hyderabad
23,25,2026-06-06 13:08:20,add_to_cart,4,iOS,Hyderabad
23,25,2026-06-06 13:11:35,checkout_start,5,iOS,Hyderabad
23,25,2026-06-06 13:13:06,payment_success,6,iOS,Hyderabad
24,25,2026-06-09 12:26:18,app_open,1,iOS,Hyderabad
24,25,2026-06-09 12:27:18,search,2,iOS,Hyderabad
24,25,2026-06-09 12:28:57,restaurant_view,3,iOS,Hyderabad
24,25,2026-06-09 12:32:24,add_to_cart,4,iOS,Hyderabad
24,25,2026-06-09 12:27:00,checkout_start,5,iOS,Hyderabad
24,25,2026-06-09 12:30:00,payment_success,6,iOS,Hyderabad
25,26,2026-02-14 20:21:34,app_open,1,Android,Bengaluru
25,26,2026-02-14 20:23:12,search,2,Android,Bengaluru
25,26,2026-02-14 20:21:27,restaurant_view,3,Android,Bengaluru
25,26,2026-02-14 20:26:52,add_to_cart,4,Android,Bengaluru
25,26,2026-02-14 20:25:40,checkout_start,5,Android,Bengaluru
25,26,2026-02-14 20:31:54,payment_success,6,Android,Bengaluru
26,26,2026-03-07 17:16:05,app_open,1,Android,Bengaluru
26,26,2026-03-07 17:17:22,search,2,Android,Bengaluru
26,26,2026-03-07 17:16:42,restaurant_view,3,Android,Bengaluru
26,26,2026-03-07 17:22:44,add_to_cart,4,Android,Bengaluru
26,26,2026-03-07 17:22:35,checkout_start,5,Android,Bengaluru
26,26,2026-03-07 17:20:54,payment_success,6,Android,Bengaluru
27,26,2026-03-28 19:13:01,app_open,1,Android,Bengaluru
27,26,2026-03-28 19:14:44,search,2,Android,Bengaluru
27,26,2026-03-28 19:13:33,restaurant_view,3,Android,Bengaluru
27,26,2026-03-28 19:19:32,add_to_cart,4,Android,Bengaluru
27,26,2026-03-28 19:13:55,checkout_start,5,Android,Bengaluru
27,26,2026-03-28 19:20:06,payment_success,6,Android,Bengaluru
28,28,2026-01-18 11:06:49,app_open,1,iOS,Bengaluru
28,28,2026-01-18 11:08:22,search,2,iOS,Bengaluru
28,28,2026-01-18 11:09:48,restaurant_view,3,iOS,Bengaluru
28,28,2026-01-18 11:09:04,add_to_cart,4,iOS,Bengaluru
28,28,2026-01-18 11:13:00,checkout_start,5,iOS,Bengaluru
28,28,2026-01-18 11:12:42,payment_success,6,iOS,Bengaluru
29,30,2026-05-21 14:09:35,app_open,1,Android,Bengaluru
29,30,2026-05-21 14:09:22,search,2,Android,Bengaluru
29,30,2026-05-21 14:10:12,restaurant_view,3,Android,Bengaluru
29,30,2026-05-21 14:12:16,add_to_cart,4,Android,Bengaluru
29,30,2026-05-21 14:12:35,checkout_start,5,Android,Bengaluru
29,30,2026-05-21 14:11:48,payment_success,6,Android,Bengaluru
30,34,2026-03-29 19:40:35,app_open,1,Android,Kolkata
30,34,2026-03-29 19:40:12,search,2,Android,Kolkata
30,34,2026-03-29 19:43:12,restaurant_view,3,Android,Kolkata
30,34,2026-03-29 19:46:24,add_to_cart,4,Android,Kolkata
30,34,2026-03-29 19:43:30,checkout_start,5,Android,Kolkata
30,34,2026-03-29 19:44:12,payment_success,6,Android,Kolkata
31,36,2026-02-19 20:24:28,app_open,1,Android,Bengaluru
31,36,2026-02-19 20:26:24,search,2,Android,Bengaluru
31,36,2026-02-19 20:28:00,restaurant_view,3,Android,Bengaluru
31,36,2026-02-19 20:28:04,add_to_cart,4,Android,Bengaluru
31,36,2026-02-19 20:30:10,checkout_start,5,Android,Bengaluru
31,36,2026-02-19 20:35:36,payment_success,6,Android,Bengaluru
32,38,2026-04-09 20:01:56,app_open,1,iOS,Delhi NCR
32,38,2026-04-09 20:02:18,search,2,iOS,Delhi NCR
32,38,2026-04-09 20:06:42,restaurant_view,3,iOS,Delhi NCR
32,38,2026-04-09 20:08:16,add_to_cart,4,iOS,Delhi NCR
32,38,2026-04-09 20:08:55,checkout_start,5,iOS,Delhi NCR
32,38,2026-04-09 20:03:00,payment_success,6,iOS,Delhi NCR
33,38,2026-04-28 20:32:44,app_open,1,iOS,Delhi NCR
33,38,2026-04-28 20:33:14,search,2,iOS,Delhi NCR
33,38,2026-04-28 20:32:15,restaurant_view,3,iOS,Delhi NCR
33,38,2026-04-28 20:37:52,add_to_cart,4,iOS,Delhi NCR
33,38,2026-04-28 20:37:15,checkout_start,5,iOS,Delhi NCR
33,38,2026-04-28 20:36:54,payment_success,6,iOS,Delhi NCR
34,38,2026-06-14 19:45:52,app_open,1,iOS,Delhi NCR
34,38,2026-06-14 19:46:06,search,2,iOS,Delhi NCR
