user_id,signup_date,city,platform,acquisition_channel,is_gold
94,2026-03-23,Kolkata,Android,paid_social,0
95,2026-03-08,Hyderabad,iOS,paid_social,0
96,2026-05-06,Mumbai,Android,referral,1
97,2026-03-20,Mumbai,Android,paid_social,0
98,2026-01-22,Bengaluru,Android,organic,0
99,2026-01-29,Delhi NCR,Android,paid_search,0
100,2026-06-25,Kolkata,iOS,paid_search,0
101,2026-06-17,Delhi NCR,Android,paid_search,1
102,2026-05-17,Mumbai,Android,organic,0
103,2026-03-01,Delhi NCR,Android,paid_search,0
104,2026-06-26,Bengaluru,Android,paid_search,0
105,2026-05-29,Delhi NCR,Android,referral,0
106,2026-05-20,Bengaluru,Android,referral,0
107,2026-04-05,Mumbai,Android,paid_search,0
108,2026-03-02,Kolkata,iOS,organic,1
109,2026-01-24,Delhi NCR,Android,organic,0
110,2026-06-17,Pune,iOS,paid_search,0
111,2026-04-06,Bengaluru,iOS,organic,1
112,2026-02-16,Mumbai,iOS,paid_search,0
113,2026-03-09,Mumbai,iOS,organic,0
114,2026-04-27,Delhi NCR,Android,paid_social,0
115,2026-02-11,Bengaluru,Android,paid_social,0
116,2026-06-10,Bengaluru,Android,paid_search,0
117,2026-05-26,Bengaluru,iOS,paid_social,0
118,2026-05-20,Pune,Android,paid_search,0
119,2026-04-02,Bengaluru,Android,paid_social,0
120,2026-05-05,Bengaluru,Android,organic,0
121,2026-04-28,Hyderabad,iOS,paid_social,1
122,2026-05-09,Delhi NCR,Android,referral,0
123,2026-01-21,Delhi NCR,iOS,paid_social,0
124,2026-03-30,Delhi NCR,Android,paid_search,0
125,2026-01-11,Pune,Android,organic,0
126,2026-04-13,Kolkata,Android,organic,1
127,2026-03-14,Kolkata,Android,paid_social,0
128,2026-02-04,Delhi NCR,Android,paid_search,0
129,2026-01-25,Bengaluru,Android,paid_search,0
130,2026-04-29,Pune,Android,organic,1
131,2026-02-09,Pune,Android,referral,0
132,2026-06-20,Delhi NCR,Android,referral,0
133,2026-04-28,Mumbai,Android,paid_social,1
134,2026-03-17,Delhi NCR,Android,paid_social,0
135,2026-04-29,Bengaluru,Android,organic,0
136,2026-01-06,Delhi NCR,Android,referral,0
137,2026-06-25,Pune,Android,organic,0
138,2026-04-11,Pune,Android,organic,0
139,2026-05-30,Bengaluru,iOS,organic,0
140,2026-01-21,Delhi NCR,Android,paid_search,0
141,2026-04-11,Bengaluru,Android,paid_search,0
142,2026-04-12,Delhi NCR,iOS,paid_social,0
143,2026-06-22,Delhi NCR,Android,referral,0
144,2026-04-26,Bengaluru,Android,referral,1
145,2026-04-09,Pune,Android,referral,0
146,2026-03-01,Pune,Android,paid_social,0
147,2026-03-14,Kolkata,Android,organic,1
148,2026-04-17,Hyderabad,Android,paid_search,0
149,2026-04-03,Hyderabad,iOS,paid_social,0
150,2026-01-06,Hyderabad,Android,referral,1
151,2026-06-05,Hyderabad,Android,referral,0
152,2026-06-16,Bengaluru,Android,paid_social,0
153,2026-02-03,Bengaluru,Android,paid_social,0
154,2026-04-23,Mumbai,Android,organic,0
155,2026-01-27,Hyderabad,Android,paid_social,0
156,2026-05-12,Bengaluru,Android,paid_social,0
157,2026-03-04,Mumbai,Android,referral,1
158,2026-05-10,Pune,iOS,referral,0
159,2026-05-21,Bengaluru,Android,paid_search,0
160,2026-05-28,Delhi NCR,iOS,organic,0
161,2026-01-26,Kolkata,Android,referral,0
162,2026-06-19,Delhi NCR,Android,paid_search,0
163,2026-02-22,Bengaluru,Android,organic,0
164,2026-01-10,Hyderabad,Android,paid_search,0
165,2026-04-23,Kolkata,Android,organic,1
166,2026-03-21,Bengaluru,Android,paid_search,0
167,2026-06-06,Bengaluru,iOS,organic,0
168,2026-06-03,Delhi NCR,iOS,organic,0
169,2026-03-11,Mumbai,Android,organic,0
170,2026-06-24,Pune,Android,organic,0
171,2026-03-06,Kolkata,Android,paid_social,0
172,2026-04-16,Pune,Android,referral,1
173,2026-02-27,Delhi NCR,Android,organic,0
174,2026-06-21,Hyderabad,Android,paid_social,1
175,2026-02-08,Mumbai,iOS,organic,0
176,2026-01-12,Mumbai,iOS,paid_social,1
177,2026-04-02,Mumbai,Android,organic,0
178,2026-06-29,Delhi NCR,Android,paid_social,0
179,2026-06-15,Mumbai,Android,paid_search,0
180,2026-05-24,Hyderabad,Android,paid_social,0
181,2026-06-15,Bengaluru,Android,organic,0
182,2026-06-15,Mumbai,iOS,organic,0
183,2026-04-17,Bengaluru,Android,organic,0
184,2026-03-11,Delhi NCR,iOS,paid_social,0
185,2026-05-28,Delhi NCR,iOS,paid_social,0
186,2026-05-11,Kolkata,Android,paid_social,0
187,2026-03-22,Delhi NCR,iOS,referral,0
188,2026-01-23,Pune,Android,paid_social,0
189,2026-05-24,Delhi NCR,iOS,organic,1
190,2026-02-28,Bengaluru,Android,referral,0
191,2026-06-22,Delhi NCR,iOS,referral,0
192,2026-02-24,Bengaluru,Android,paid_search,0
193,2026-01-30,Pune,Android,referral,0
194,2026-06-06,Mumbai,Android,paid_search,0
195,2026-02-06,Hyderabad,iOS,paid_social,0
196,2026-02-11,Hyderabad,iOS,organic,0
197,2026-05-01,Delhi NCR,Android,paid_search,0
198,2026-06-12,Delhi NCR,iOS,organic,0
199,2026-02-15,Bengaluru,Android,organic,0
200,2026-03-10,Hyderabad,iOS,organic,0
